Abuja;7.49;9.06;Haze;haze;stations;35;35.48;35;35;1008;28;4500;NG;1582264045;1582306823
Accra;-0.2;5.56;Rain;light rain;stations;30;33.03;30;30;1007;79;6000;GH;1582265730;1582308829
Adamstown;-130.1;-25.07;Rain;light rain;stations;25.38;26.68;25.38;25.38;1017;71;NULL;PN;1582295420;1582341486
Algiers;3.04;36.75;Clouds;scattered clouds;stations;12;10.2;12;12;1029;87;10000;DZ;1582266604;1582306400
Alofi;-169.92;-19.06;Clouds;broken clouds;stations;26;32.05;26;26;1006;94;10000;NU;1582305306;1582350712
Amman;35.95;31.96;Clouds;broken clouds;stations;11;6.94;11;11;1025;57;6000;JO;1582258402;1582298806
Amsterdam;4.89;52.37;Clouds;broken clouds;stations;8.67;0.27;7.78;9.44;1021;76;10000;NL;1582267540;1582304576
Ankara;32.85;39.92;Clouds;broken clouds;stations;4.33;1.06;3.33;5;1011;80;10000;TR;1582259682;1582299015
Antananarivo;47.54;-18.91;Drizzle;light intensity drizzle rain;stations;19;21.53;19;19;1020;100;10000;MG;1582253109;1582298537
Apia;-171.77;-13.83;Rain;moderate rain;stations;26.76;26.42;26.76;26.76;1008;86;NULL;WS;1582392427;1582437265
Ashgabat;58.38;37.95;Clouds;overcast clouds;stations;9;6.12;9;9;1021;87;9000;TM;1582253417;1582293026
Asmara;38.93;15.33;Clouds;scattered clouds;stations;16.49;16.43;16.49;16.49;1015;83;NULL;ER;1582256797;1582298981
Asunción;-57.64;-25.3;Clouds;scattered clouds;stations;29;22.01;29;29;1018;32;9000;PY;1582278010;1582324119
Athens;23.72;37.98;Clouds;few clouds;stations;8.41;4.99;5.56;10.56;1021;66;10000;GR;1582261730;1582301348
Avarua;-159.78;-21.21;Rain;light rain;stations;28;31.1;28;28;1013;83;10000;CK;1582302759;1582348393
Baghdad;44.4;33.34;Clouds;broken clouds;stations;16;13.82;16;16;1017;55;10000;IQ;1582256461;1582296691
Baku;49.89;40.38;Clouds;overcast clouds;stations;7;4.4;7;7;1021;87;10000;AZ;1582255630;1582294887
Bamako;-8;12.65;Clouds;broken clouds;stations;35;31.19;35;35;1010;9;10000;ML;1582267929;1582310374
Bangkok;100.52;13.75;Clear;clear sky;stations;27.46;25.54;26;29.44;1016;44;10000;TH;1582328316;1582370687
