Accra;5.56;-0.21;30
Adamstown;-32.94;151.73;20.04
Algiers;29.94;-90.04;15.39
Alofi;-19.06;-169.92;25
Amman;31.95;35.92;12.05
Amsterdam;52.37;4.89;6.26
Ankara;39.92;32.85;2.51
Antananarivo;-18.91;47.53;31
Apia;9.23;7.26;32
Ashgabat;37.94;58.39;7
Asmara;15.34;38.93;20.32
Asunción;-25.3;-57.63;17
Athens;37.98;23.73;13.99
Avarua;-21.21;-159.78;25
Baghdad;33.3;44.38;17
Baku;40.38;49.83;9
Bamako;12.65;-8;30
Bangkok;13.75;100.49;28.06
Bangui;4.39;18.55;31
Banjul;13.46;-16.58;22
Basseterre;10.12;-61.29;24.6
Beijing;39.91;116.39;-0.07
Beirut;33.9;35.48;12.22
Belgrade;44.82;20.46;0
Belmopan;17.25;-88.77;20.25
Berlin;52.52;13.39;3.32
Bern;46.95;7.45;2.47
Bishkek;42.88;74.61;0
Bissau;11.86;-15.58;29.99
Bogotá;4.6;-74.08;6
Brasília;-15.79;-47.88;22
Bratislava;48.15;17.11;0
Brazzaville;-4.27;15.27;28
Bridgetown;-33.96;116.14;19.69
Brussels;50.85;4.35;4.75
Bucharest;44.44;26.1;1.51
Budapest;47.5;19.04;-1
Cairo;30.05;31.24;20
Canberra;-35.3;149.1;20
Caracas;10.51;-66.91;23.01
Castries;43.68;3.99;10.89
Chișinău;47.01;28.86;8.32
Conakry;9.52;-13.7;30.19
Copenhagen;55.69;12.57;8.25
Dakar;14.69;-17.45;23.52
Damascus;33.51;36.31;13
Dhaka;26.67;85.17;23.01
Dili;-8.55;125.58;28.81
Djibouti;11.59;43.14;29
Dodoma;-6.18;35.75;29
Doha;25.29;51.53;25.36
Douglas;58.28;-134.39;1.13
Dublin;53.35;-6.26;9.76
Freetown;26.61;-78.36;21.97
Funafuti;-8.52;179.19;28.82
Gaborone;-24.66;25.91;16
GeorgeTown;6.8;-58.16;24.92
Georgetown;6.8;-58.16;24.92
Georgetown;6.8;-58.16;24.92
Gibraltar;7.03;-72.14;21.59
Gitega;-3.43;29.93;23.16
Gustavia;17.9;-62.85;26.67
Hamilton;43.26;-79.87;-0.48
Hanoi;21.03;105.85;18
Harare;-17.83;31.05;24
Havana;23.14;-82.37;12.89
Helsinki;60.17;24.94;4.49
Honiara;-9.43;159.96;26
Islamabad;33.69;73.06;21
Jakarta;-6.18;106.83;29.11
Jamestown;-33.21;138.6;14.66
Jerusalem;31.78;35.23;19.89
Juba;57.82;26.93;2.64
Kabul;34.53;69.18;13.45
Kampala;0.32;32.58;26
Kathmandu;27.71;85.32;16
Khartoum;15.59;32.54;32
Kiev;50.43;30.52;5.21
Kigali;-1.95;30.06;20
Kingston;17.97;-76.79;24.04
Kingston;17.97;-76.79;24.04
Kingstown;54.92;-2.94;9.08
Kinshasa;-4.32;15.31;28
Libreville;0.39;9.45;29
Lilongwe;-13.97;33.79;25
Lima;-12.06;-77.04;19
Lisbon;38.71;-9.14;14.44
Ljubljana;46.05;14.51;6.34
Lomé;6.13;1.22;31
London;51.51;-0.13;11.58
Luanda;-8.83;13.24;30
Lusaka;-15.42;28.28;24
Luxembourg;49.61;6.13;2.6
Madrid;40.42;-3.7;9.66
Majuro;7.09;171.38;27
Malabo;1.56;30.43;27.25
Malé;46.35;10.91;2.95
Managua;12.15;-86.27;22
Manama;25.33;56.02;27.25
Manila;14.59;120.98;27.84
Maputo;-25.97;32.57;25
Marigot;18.23;-72.32;24
Maseru;-29.31;27.48;19
Mata-Utu;-13.28;-176.17;27.94
